Sample.ID,Tool,DBS1,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS10,DBS11
Breast-AdenoCA::S.1,Ground-Truth,0,33,0,60,0,11,0,0,46,0,0
Breast-AdenoCA::S.2,Ground-Truth,0,7,0,30,0,32,0,0,0,0,16
Breast-AdenoCA::S.3,Ground-Truth,0,109,0,36,0,34,0,0,21,0,9
Breast-AdenoCA::S.4,Ground-Truth,0,27,0,44,0,27,0,0,25,0,0
Breast-AdenoCA::S.5,Ground-Truth,0,26,0,25,0,26,0,0,68,0,0
Breast-AdenoCA::S.6,Ground-Truth,0,17,0,52,0,9,0,0,47,0,6
Breast-AdenoCA::S.7,Ground-Truth,0,31,0,40,0,28,0,0,0,0,0
Breast-AdenoCA::S.8,Ground-Truth,0,9,0,27,0,25,0,0,35,0,0
Breast-AdenoCA::S.9,Ground-Truth,0,13,0,45,0,21,0,0,39,0,12
Breast-AdenoCA::S.10,Ground-Truth,0,42,0,17,0,26,0,0,59,0,27
Breast-AdenoCA::S.11,Ground-Truth,0,18,0,62,0,16,0,0,24,0,26
Breast-AdenoCA::S.12,Ground-Truth,0,9,0,19,0,18,0,0,38,0,45
Breast-AdenoCA::S.13,Ground-Truth,0,48,0,17,0,37,0,0,58,0,0
Breast-AdenoCA::S.14,Ground-Truth,0,13,0,18,0,16,0,0,29,0,44
Breast-AdenoCA::S.15,Ground-Truth,0,20,0,96,0,27,0,0,48,0,17
Breast-AdenoCA::S.16,Ground-Truth,0,17,0,13,0,42,0,0,23,0,0
Breast-AdenoCA::S.17,Ground-Truth,0,56,0,25,0,24,0,0,30,0,0
Breast-AdenoCA::S.18,Ground-Truth,0,122,0,12,0,53,0,0,0,0,21
Breast-AdenoCA::S.19,Ground-Truth,0,20,0,22,0,17,0,0,0,0,0
Breast-AdenoCA::S.20,Ground-Truth,0,46,0,14,0,0,0,0,45,0,0
Breast-AdenoCA::S.21,Ground-Truth,0,8,0,30,0,42,0,0,44,0,33
Breast-AdenoCA::S.22,Ground-Truth,0,17,0,0,0,24,0,0,84,0,0
Breast-AdenoCA::S.23,Ground-Truth,0,41,0,36,0,41,0,0,36,0,22
Breast-AdenoCA::S.24,Ground-Truth,0,18,0,17,0,30,0,0,45,0,0
Breast-AdenoCA::S.25,Ground-Truth,0,24,0,27,0,29,0,0,59,0,0
Breast-AdenoCA::S.26,Ground-Truth,0,7,0,69,0,18,0,0,37,0,0
Breast-AdenoCA::S.27,Ground-Truth,0,18,0,29,0,15,0,0,23,0,14
Breast-AdenoCA::S.28,Ground-Truth,0,17,0,36,0,30,0,0,33,0,10
Breast-AdenoCA::S.29,Ground-Truth,0,39,0,15,0,16,0,0,76,0,0
Breast-AdenoCA::S.30,Ground-Truth,0,24,0,10,0,20,0,0,28,0,0
Breast-AdenoCA::S.31,Ground-Truth,0,20,0,36,0,8,0,0,25,0,91
Breast-AdenoCA::S.32,Ground-Truth,0,22,0,0,0,7,0,0,19,0,36
Breast-AdenoCA::S.33,Ground-Truth,0,18,0,22,0,16,0,0,14,0,0
Breast-AdenoCA::S.34,Ground-Truth,0,71,0,58,0,19,0,0,32,0,8
Breast-AdenoCA::S.35,Ground-Truth,0,17,0,29,0,22,0,0,53,0,13
Breast-AdenoCA::S.36,Ground-Truth,0,62,0,51,0,29,0,0,58,0,48
Breast-AdenoCA::S.37,Ground-Truth,0,33,0,42,0,31,0,0,43,0,10
Breast-AdenoCA::S.38,Ground-Truth,0,101,0,11,0,40,0,0,0,0,0
Breast-AdenoCA::S.39,Ground-Truth,0,170,0,11,0,21,0,0,0,0,0
Breast-AdenoCA::S.40,Ground-Truth,0,3,0,40,0,24,0,0,0,0,0
Breast-AdenoCA::S.41,Ground-Truth,0,17,0,0,0,0,0,0,12,0,26
Breast-AdenoCA::S.42,Ground-Truth,0,20,0,47,0,70,0,0,35,0,16
Breast-AdenoCA::S.43,Ground-Truth,0,37,0,15,0,8,0,0,33,0,0
Breast-AdenoCA::S.44,Ground-Truth,0,7,0,11,0,15,0,0,33,0,26
Breast-AdenoCA::S.45,Ground-Truth,0,20,0,41,0,28,0,0,39,0,52
Breast-AdenoCA::S.46,Ground-Truth,0,6,0,15,0,35,0,0,33,0,14
Breast-AdenoCA::S.47,Ground-Truth,0,16,0,29,0,10,0,0,18,0,0
Breast-AdenoCA::S.48,Ground-Truth,0,7,0,57,0,25,0,0,39,0,27
Breast-AdenoCA::S.49,Ground-Truth,0,41,0,41,0,18,0,0,30,0,22
Breast-AdenoCA::S.50,Ground-Truth,0,8,0,26,0,15,0,0,51,0,0
Breast-AdenoCA::S.51,Ground-Truth,0,26,0,14,0,58,0,0,0,0,18
Breast-AdenoCA::S.52,Ground-Truth,0,31,0,35,0,10,0,0,38,0,0
Breast-AdenoCA::S.53,Ground-Truth,0,28,0,17,0,14,0,0,47,0,14
Breast-AdenoCA::S.54,Ground-Truth,0,4,0,25,0,42,0,0,56,0,111
Breast-AdenoCA::S.55,Ground-Truth,0,40,0,25,0,19,0,0,20,0,4
Breast-AdenoCA::S.56,Ground-Truth,0,17,0,9,0,50,0,0,65,0,0
Breast-AdenoCA::S.57,Ground-Truth,0,7,0,12,0,33,0,0,26,0,11
Breast-AdenoCA::S.58,Ground-Truth,0,5,0,18,0,7,0,0,20,0,16
Breast-AdenoCA::S.59,Ground-Truth,0,31,0,23,0,45,0,0,36,0,0
