Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,cancer.type
Breast-AdenoCA::S.1,deconstruct_0.00,29.1769800788594,0.194513200525729,0.75,1,0.857142857142857,2.55548679947427,Breast-AdenoCA
Breast-AdenoCA::S.2,deconstruct_0.00,29.296127804048,0.344660327106447,0.75,1,0.857142857142857,2.40533967289355,Breast-AdenoCA
Breast-AdenoCA::S.3,deconstruct_0.00,87.304358566541,0.41772420366766,0.8,1,0.888888888888889,2.38227579633234,Breast-AdenoCA
Breast-AdenoCA::S.4,deconstruct_0.00,9.2604586807484,0.0752882819573041,1,1,1,2.9247117180427,Breast-AdenoCA
Breast-AdenoCA::S.5,deconstruct_0.00,36.377340729326,0.250878211926386,1,1,1,2.74912178807361,Breast-AdenoCA
Breast-AdenoCA::S.6,deconstruct_0.00,37.8406260355153,0.288859740729124,0.8,1,0.888888888888889,2.51114025927088,Breast-AdenoCA
Breast-AdenoCA::S.7,deconstruct_0.00,18.4163576085944,0.186023814228226,1,0.75,0.857142857142857,2.56397618577177,Breast-AdenoCA
Breast-AdenoCA::S.8,deconstruct_0.00,44.298270256104,0.46144031516775,1,1,1,2.53855968483225,Breast-AdenoCA
Breast-AdenoCA::S.9,deconstruct_0.00,67.0649348506833,0.515884114236025,0.6,1,0.75,2.08411588576397,Breast-AdenoCA
Breast-AdenoCA::S.10,deconstruct_0.00,31.5015741012643,0.184219731586341,1,1,1,2.81578026841366,Breast-AdenoCA
Breast-AdenoCA::S.11,deconstruct_0.00,39.5684895089808,0.271017051431375,1,1,1,2.72898294856862,Breast-AdenoCA
Breast-AdenoCA::S.12,deconstruct_0.00,36.7131152384288,0.28459779254596,0.8,1,0.888888888888889,2.51540220745404,Breast-AdenoCA
Breast-AdenoCA::S.13,deconstruct_0.00,28.1682558126295,0.176051598828934,1,1,1,2.82394840117107,Breast-AdenoCA
Breast-AdenoCA::S.14,deconstruct_0.00,45.3703264752878,0.378086053960732,0.8,1,0.888888888888889,2.42191394603927,Breast-AdenoCA
Breast-AdenoCA::S.15,deconstruct_0.00,54.61678916496,0.262580717139231,0.8,1,0.888888888888889,2.53741928286077,Breast-AdenoCA
Breast-AdenoCA::S.16,deconstruct_0.00,31.7619431627043,0.33433624381794,1,1,1,2.66566375618206,Breast-AdenoCA
Breast-AdenoCA::S.17,deconstruct_0.00,13.1463239464535,0.0973801773811371,1,1,1,2.90261982261886,Breast-AdenoCA
Breast-AdenoCA::S.18,deconstruct_0.00,41.79368240422,0.200931165404904,1,1,1,2.7990688345951,Breast-AdenoCA
Breast-AdenoCA::S.19,deconstruct_0.00,34,0.576271186440678,0.666666666666667,0.666666666666667,0.666666666666667,1.75706214689265,Breast-AdenoCA
Breast-AdenoCA::S.20,deconstruct_0.00,10.6583324882493,0.101507928459517,1,1,1,2.89849207154048,Breast-AdenoCA
Breast-AdenoCA::S.21,deconstruct_0.00,68.9574785436434,0.439219608558238,0.8,1,0.888888888888889,2.36078039144176,Breast-AdenoCA
Breast-AdenoCA::S.22,deconstruct_0.00,47.6082019780902,0.380865615824722,1,1,1,2.61913438417528,Breast-AdenoCA
Breast-AdenoCA::S.23,deconstruct_0.00,59.5675767244965,0.338452140480094,1,1,1,2.66154785951991,Breast-AdenoCA
Breast-AdenoCA::S.24,deconstruct_0.00,62.1318853606808,0.564835321460735,0.75,1,0.857142857142857,2.18516467853927,Breast-AdenoCA
Breast-AdenoCA::S.25,deconstruct_0.00,63.3753132467525,0.45593750537232,0.75,1,0.857142857142857,2.29406249462768,Breast-AdenoCA
Breast-AdenoCA::S.26,deconstruct_0.00,50,0.381679389312977,0.5,1,0.666666666666667,2.11832061068702,Breast-AdenoCA
Breast-AdenoCA::S.27,deconstruct_0.00,36.7008121309796,0.370715274050299,0.8,1,0.888888888888889,2.4292847259497,Breast-AdenoCA
Breast-AdenoCA::S.28,deconstruct_0.00,92.2219621747334,0.731920334720106,0.6,1,0.75,1.86807966527989,Breast-AdenoCA
Breast-AdenoCA::S.29,deconstruct_0.00,54.9474516973726,0.376352408886114,0.75,1,0.857142857142857,2.37364759111389,Breast-AdenoCA
Breast-AdenoCA::S.30,deconstruct_0.00,37.2044849021461,0.453713230513977,1,1,1,2.54628676948602,Breast-AdenoCA
Breast-AdenoCA::S.31,deconstruct_0.00,96.3723564790975,0.535401980439431,0.6,1,0.75,2.06459801956057,Breast-AdenoCA
Breast-AdenoCA::S.32,deconstruct_0.00,43.8861483900676,0.522454147500805,0.75,1,0.857142857142857,2.22754585249919,Breast-AdenoCA
Breast-AdenoCA::S.33,deconstruct_0.00,49.518162236701,0.707402317667157,0.75,1,0.857142857142857,2.04259768233284,Breast-AdenoCA
Breast-AdenoCA::S.34,deconstruct_0.00,52.53726057449,0.279453513694096,0.8,1,0.888888888888889,2.5205464863059,Breast-AdenoCA
Breast-AdenoCA::S.35,deconstruct_0.00,78,0.582089552238806,0.6,1,0.75,2.01791044776119,Breast-AdenoCA
Breast-AdenoCA::S.36,deconstruct_0.00,27.4398111000101,0.110644399596815,1,1,1,2.88935560040319,Breast-AdenoCA
Breast-AdenoCA::S.37,deconstruct_0.00,27.7021176174817,0.174227154826929,1,1,1,2.82577284517307,Breast-AdenoCA
Breast-AdenoCA::S.38,deconstruct_0.00,41.560974710302,0.273427465199355,1,1,1,2.72657253480064,Breast-AdenoCA
Breast-AdenoCA::S.39,deconstruct_0.00,64,0.316831683168317,0.333333333333333,1,0.5,2.01650165016502,Breast-AdenoCA
Breast-AdenoCA::S.40,deconstruct_0.00,79.9999999999999,1.19402985074627,0.666666666666667,0.666666666666667,0.666666666666667,1.13930348258707,Breast-AdenoCA
Breast-AdenoCA::S.41,deconstruct_0.00,39.2875259981244,0.714318654511353,1,1,1,2.28568134548865,Breast-AdenoCA
Breast-AdenoCA::S.42,deconstruct_0.00,176.210655325171,0.93729071981474,0.6,1,0.75,1.66270928018526,Breast-AdenoCA
Breast-AdenoCA::S.43,deconstruct_0.00,23.0595582019148,0.247952238730267,0.75,1,0.857142857142857,2.50204776126973,Breast-AdenoCA
Breast-AdenoCA::S.44,deconstruct_0.00,34.5177385743613,0.375192810590884,1,1,1,2.62480718940912,Breast-AdenoCA
Breast-AdenoCA::S.45,deconstruct_0.00,107.076073662521,0.594867075902892,0.8,1,0.888888888888889,2.20513292409711,Breast-AdenoCA
Breast-AdenoCA::S.46,deconstruct_0.00,18.492881955134,0.179542543253728,1,1,1,2.82045745674627,Breast-AdenoCA
Breast-AdenoCA::S.47,deconstruct_0.00,24.5782045432566,0.336687733469268,0.75,1,0.857142857142857,2.41331226653073,Breast-AdenoCA
Breast-AdenoCA::S.48,deconstruct_0.00,30.0410752871968,0.193813388949657,1,1,1,2.80618661105034,Breast-AdenoCA
Breast-AdenoCA::S.49,deconstruct_0.00,52.0892115765763,0.342692181424844,0.8,1,0.888888888888889,2.45730781857516,Breast-AdenoCA
Breast-AdenoCA::S.50,deconstruct_0.00,16.3447147622212,0.163447147622212,1,1,1,2.83655285237779,Breast-AdenoCA
Breast-AdenoCA::S.51,deconstruct_0.00,60.8217163383458,0.524325140847809,0.75,0.75,0.75,1.97567485915219,Breast-AdenoCA
Breast-AdenoCA::S.52,deconstruct_0.00,20,0.175438596491228,0.75,1,0.857142857142857,2.57456140350877,Breast-AdenoCA
Breast-AdenoCA::S.53,deconstruct_0.00,35.0560137402908,0.292133447835757,1,1,1,2.70786655216424,Breast-AdenoCA
Breast-AdenoCA::S.54,deconstruct_0.00,202.202253360802,0.849589299835302,0.6,1,0.75,1.7504107001647,Breast-AdenoCA
Breast-AdenoCA::S.55,deconstruct_0.00,96,0.888888888888889,0.4,1,0.571428571428571,1.51111111111111,Breast-AdenoCA
Breast-AdenoCA::S.56,deconstruct_0.00,29.2883068806936,0.207718488515558,1,1,1,2.79228151148444,Breast-AdenoCA
Breast-AdenoCA::S.57,deconstruct_0.00,43.5238429722411,0.489031943508327,0.6,1,0.75,2.11096805649167,Breast-AdenoCA
Breast-AdenoCA::S.58,deconstruct_0.00,50.9010097381314,0.771227420274718,0.6,1,0.75,1.82877257972528,Breast-AdenoCA
Breast-AdenoCA::S.59,deconstruct_0.00,11.4678214745266,0.084946825737234,1,1,1,2.91505317426277,Breast-AdenoCA
Breast-AdenoCA::S.60,deconstruct_0.00,11.662770568283,0.0821321871005846,1,1,1,2.91786781289942,Breast-AdenoCA
Breast-AdenoCA::S.61,deconstruct_0.00,56,0.35,0.6,1,0.75,2.25,Breast-AdenoCA
Breast-AdenoCA::S.62,deconstruct_0.00,45.8373315400238,0.467727872857386,0.75,1,0.857142857142857,2.28227212714261,Breast-AdenoCA
Breast-AdenoCA::S.63,deconstruct_0.00,28.9402606644471,0.241168838870393,1,1,1,2.75883116112961,Breast-AdenoCA
Breast-AdenoCA::S.64,deconstruct_0.00,39.9770556615612,0.212643913093411,1,1,1,2.78735608690659,Breast-AdenoCA
Breast-AdenoCA::S.65,deconstruct_0.00,42.0546285748388,0.483386535342974,1,0.8,0.888888888888889,2.31661346465703,Breast-AdenoCA
Breast-AdenoCA::S.66,deconstruct_0.00,31.3541797723376,0.222370069307359,1,1,1,2.77762993069264,Breast-AdenoCA
Breast-AdenoCA::S.67,deconstruct_0.00,22.5711093541344,0.417983506558044,0.75,1,0.857142857142857,2.33201649344196,Breast-AdenoCA
Breast-AdenoCA::S.68,deconstruct_0.00,29.4926861198231,0.324095451866188,1,1,1,2.67590454813381,Breast-AdenoCA
Breast-AdenoCA::S.69,deconstruct_0.00,63.4626840171782,0.327127237201949,1,1,1,2.67287276279805,Breast-AdenoCA
Breast-AdenoCA::S.70,deconstruct_0.00,26.5328211906804,0.255123280679619,0.8,1,0.888888888888889,2.54487671932038,Breast-AdenoCA
Breast-AdenoCA::S.71,deconstruct_0.00,44.0371290345218,0.543668259685454,0.75,0.75,0.75,1.95633174031455,Breast-AdenoCA
Breast-AdenoCA::S.72,deconstruct_0.00,35.4014685729502,0.270240218114124,0.75,1,0.857142857142857,2.47975978188588,Breast-AdenoCA
Breast-AdenoCA::S.73,deconstruct_0.00,32.7803252404019,0.292681475360731,0.8,1,0.888888888888889,2.50731852463927,Breast-AdenoCA
Breast-AdenoCA::S.74,deconstruct_0.00,7.1141425055136,0.0646740227773964,1,1,1,2.9353259772226,Breast-AdenoCA
Breast-AdenoCA::S.75,deconstruct_0.00,51.6568059360068,0.394326762870281,0.8,1,0.888888888888889,2.40567323712972,Breast-AdenoCA
