Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,multiLLH,cancer.type
Breast-AdenoCA::S.1,deconstruct_0.00,63.851661807604,0.22723011319432,1,0.8,0.888888888888889,2.57276988680568,0.75,0.888197461773676,0.166913564227857,-63.6848889584187,Breast-AdenoCA
Breast-AdenoCA::S.2,deconstruct_0.00,37.3429733579614,0.0856490214632142,1,0.8,0.888888888888889,2.71435097853679,0.75,0.948887225511711,0.0122350184079121,-70.5859343117681,Breast-AdenoCA
Breast-AdenoCA::S.3,deconstruct_0.00,14.445068245739,0.0559886366113915,1,1,1,2.94401136338861,1,0.966375606442985,0.00413375534485573,-56.3826393217994,Breast-AdenoCA
Breast-AdenoCA::S.4,deconstruct_0.00,94.5510614698599,0.139250458718498,1,0.666666666666667,0.8,2.52741620794817,0.5,0.929585748594734,0.136000996639353,-96.9585194189071,Breast-AdenoCA
Breast-AdenoCA::S.5,deconstruct_0.00,79.7892639191776,0.209420640207815,1,0.8,0.888888888888889,2.59057935979218,0.75,0.884997619200296,0.309094993855558,-77.9174796210873,Breast-AdenoCA
Breast-AdenoCA::S.6,deconstruct_0.00,25.1157291645718,0.172025542223095,1,0.5,0.666666666666667,2.32797445777691,0.4,0.901790839723056,0.161283854292099,-55.0763554924781,Breast-AdenoCA
Breast-AdenoCA::S.7,deconstruct_0.00,214.513488773428,0.195189707710125,1,0.714285714285714,0.833333333333333,2.51909600657559,0.333333333333333,0.91361295252364,0.17459662493747,-133.906907183024,Breast-AdenoCA
Breast-AdenoCA::S.8,deconstruct_0.00,45.1224391734124,0.0582225021592418,0.666666666666667,1,0.8,2.60844416450743,1,0.964208359954475,0.07347627883908,-84.1357641516042,Breast-AdenoCA
Breast-AdenoCA::S.9,deconstruct_0.00,61.7180601081145,0.0992251770226921,0.75,1,0.857142857142857,2.65077482297731,1,0.942318821786257,0.0361156258541582,-74.6043432343399,Breast-AdenoCA
Breast-AdenoCA::S.10,deconstruct_0.00,20.5072667684163,0.0592695571341512,1,0.75,0.857142857142857,2.69073044286585,0.8,0.962578085504419,0.00449446864924072,-60.8312837197323,Breast-AdenoCA
Breast-AdenoCA::S.11,deconstruct_0.00,10.5782164710701,0.170616394694679,1,0.8,0.888888888888889,2.62938360530532,0.75,0.911303065009683,0.100257305816314,-28.3459982809064,Breast-AdenoCA
Breast-AdenoCA::S.12,deconstruct_0.00,165.69262758242,0.252965843637282,0.8,1,0.888888888888889,2.54703415636272,1,0.846590423931677,0.389860771146521,-90.3762305884011,Breast-AdenoCA
Breast-AdenoCA::S.13,deconstruct_0.00,60.4465434968651,0.0724778699003179,0.8,0.8,0.8,2.52752213009968,0.666666666666667,0.963580951547394,0.0305660824763612,-93.7376774028226,Breast-AdenoCA
Breast-AdenoCA::S.14,deconstruct_0.00,94.2952310247585,0.106308039486763,1,1,1,2.89369196051324,1,0.938621472094289,0.0264040703941965,-89.6153595203605,Breast-AdenoCA
Breast-AdenoCA::S.15,deconstruct_0.00,21.8108723955082,0.0624953363768144,1,1,1,2.93750466362319,1,0.96303586241276,0.0118229733751988,-66.5203808858494,Breast-AdenoCA
Breast-AdenoCA::S.16,deconstruct_0.00,317.4712990053,0.433703960389754,0.8,0.8,0.8,2.16629603961025,0.666666666666667,0.776403116589745,0.380894202133966,-143.967667527306,Breast-AdenoCA
Breast-AdenoCA::S.17,deconstruct_0.00,73.4823358361514,0.132879449974957,1,1,1,2.86712055002504,1,0.93183246582944,0.0259961132265927,-81.0129468757932,Breast-AdenoCA
Breast-AdenoCA::S.18,deconstruct_0.00,33.1750209617237,0.0835642845383469,0.8,0.8,0.8,2.51643571546165,0.666666666666667,0.960014493047358,0.116787753664742,-84.9422194292083,Breast-AdenoCA
Breast-AdenoCA::S.19,deconstruct_0.00,170.424651238654,0.237691284851679,1,1,1,2.76230871514832,1,0.850786679015308,0.0765639826767772,-116.217621065332,Breast-AdenoCA
Breast-AdenoCA::S.20,deconstruct_0.00,79.9282405641174,0.3004821073839,1,0.75,0.857142857142857,2.4495178926161,0.8,0.814441567470518,0.322816505536322,-67.0442891191096,Breast-AdenoCA
Breast-AdenoCA::S.21,deconstruct_0.00,6.0765939236008,0.0351248203676347,1,1,1,2.96487517963237,1,0.978417669484804,0.00220854153639362,-45.2081685356825,Breast-AdenoCA
Breast-AdenoCA::S.22,deconstruct_0.00,57.4090072978818,0.181674073727474,1,1,1,2.81832592627253,1,0.898239643243111,0.0575109028836168,-82.5600624572508,Breast-AdenoCA
Breast-AdenoCA::S.23,deconstruct_0.00,89.845907668404,0.100274450522772,1,0.833333333333333,0.909090909090909,2.73305888281056,0.666666666666667,0.95257495512571,0.0552539690986921,-98.5122527481244,Breast-AdenoCA
Breast-AdenoCA::S.24,deconstruct_0.00,72.0771720787895,0.138343900343166,1,0.8,0.888888888888889,2.66165609965683,0.75,0.912737987147732,0.0586182773802694,-78.0550024003446,Breast-AdenoCA
Breast-AdenoCA::S.25,deconstruct_0.00,250.216684378243,0.192031223621061,1,0.833333333333333,0.909090909090909,2.64130210971227,0.666666666666667,0.891743267268438,0.0784599255837698,-124.881139189843,Breast-AdenoCA
