"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"1","fitms_0.200","ColoRect-AdenoCA",2.92102051802788,2.95904376963884,0.123158091703787,0.984,1,0.0657308049588525,0.0539794819721177,0.0388497596486048,0.0585730198290993,0.975,1,0.10154529930749,1,1,0,0.963888979076558,0.0278046102498439,0.00228133471559349,-194.6862987065,-113.976544654877
"2","fitms_0.050","ColoRect-AdenoCA",2.92099674587777,2.95903691232844,0.123152004636206,0.984,1,0.0657308049588525,0.0540032541222316,0.0388497596486083,0.0585704700283328,0.975,1,0.10154529930749,1,1,0,0.96387140127783,0.0278101975507633,0.00228133471559381,-194.686521662396,-113.976544654877
"3","fitms_0.005","ColoRect-AdenoCA",2.92099674587776,2.95903691232844,0.123152004636205,0.984,1,0.0657308049588525,0.0540032541222405,0.0388497596486068,0.0585704700283382,0.975,1,0.10154529930749,1,1,0,0.963871401277826,0.0278101975507652,0.00228133471559285,-194.686521662396,-113.976544654877
"4","fitms_0.030","ColoRect-AdenoCA",2.92099674587776,2.95903691232844,0.123152004636207,0.984,1,0.0657308049588525,0.0540032541222401,0.0388497596486118,0.0585704700283386,0.975,1,0.10154529930749,1,1,0,0.963871401277826,0.0278101975507659,0.00228133471559317,-194.686521662396,-113.976544654877
"5","fitms_0.060","ColoRect-AdenoCA",2.92099674587776,2.95903691232845,0.123152004636209,0.984,1,0.0657308049588525,0.0540032541222416,0.038849759648604,0.058570470028344,0.975,1,0.10154529930749,1,1,0,0.963871401277826,0.0278101975507661,0.00228133471559365,-194.686521662396,-113.976544654877
"6","fitms_0.100","ColoRect-AdenoCA",2.92099674587776,2.95903691232844,0.123152004636207,0.984,1,0.0657308049588525,0.0540032541222442,0.0388497596486047,0.0585704700283408,0.975,1,0.10154529930749,1,1,0,0.963871401277825,0.0278101975507665,0.00228133471559349,-194.686521662396,-113.976544654877
"7","fitms_0.010","ColoRect-AdenoCA",2.92099674587775,2.95903691232844,0.123152004636207,0.984,1,0.0657308049588525,0.0540032541222448,0.0388497596486108,0.05857047002834,0.975,1,0.10154529930749,1,1,0,0.963871401277824,0.0278101975507671,0.00228133471559349,-194.686521662396,-113.976544654877
"8","fitms_0.001","ColoRect-AdenoCA",2.92099674587775,2.95903691232844,0.123152004636209,0.984,1,0.0657308049588525,0.0540032541222499,0.0388497596486101,0.0585704700283482,0.975,1,0.10154529930749,1,1,0,0.963871401277821,0.0278101975507699,0.00228133471559333,-194.686521662396,-113.976544654877
"9","pasa","Eso-AdenoCA",2.91879502448554,2.94719479325494,0.0929905855807608,0.98624531024531,1,0.0431035618862591,0.0565383088477883,0.048738929178965,0.0408546836743719,0.979833333333333,1,0.0661721982438734,0.9955,1,0.0318574793400073,0.965757330397714,0.0162092142794857,0.00526606938285897,-105.017515190232,-110.51233878552
"10","pasa","ColoRect-AdenoCA",2.91418530001204,2.9464832613405,0.0985823431920662,0.996571428571429,1,0.024460368494384,0.0799813666546292,0.0535167386594961,0.0807358411476919,0.994166666666667,1,0.0414641543296869,1,1,0,0.946363248263735,0.0265128111261623,0.00407079478891406,-331.532559448952,-115.760578073477
"11","msa_thresholdx100_unpruned","ColoRect-AdenoCA",2.8808534880708,2.92249862507988,0.130463685391332,0.988666666666667,1,0.0510759650790292,0.100813178595869,0.0775013749201145,0.0798934674407416,0.985,1,0.0752660824341427,0.996666666666667,1,0.0333333333333333,0.924050682359279,0.0395567483097729,0.00514906737938679,-483.854884255218,-116.293494678236
"12","musical","ColoRect-AdenoCA",2.87741781438442,2.91990506892862,0.128501202521901,0.987142857142857,1,0.0475973976758422,0.100915518948911,0.0775013749201127,0.0785294157316627,0.996666666666667,1,0.0333333333333333,0.981666666666667,1,0.0735694088086747,0.924713811173623,0.0289001337403044,0.00546408493105516,-140.599472519647,-120.402949114164
"13","pasa","Stomach-AdenoCA",2.86983917390609,2.94558090742197,0.172268671598924,0.964924242424242,1,0.075460798362687,0.0703274927605761,0.0463797343673536,0.0821566184242537,0.956,1,0.110313297335469,0.984166666666667,1,0.0645442887297697,0.955298032842602,0.0423967785070529,0.00617193597287056,-411.864569990577,-108.675936555886
"14","msa_thresholdx100","ColoRect-AdenoCA",2.86979890522605,2.92227877061551,0.143063006116104,0.982666666666667,1,0.0603915395327694,0.101867761440612,0.0777212293844959,0.07891826613267,0.971666666666667,1,0.0978299906506541,1,1,0,0.922827391590756,0.0600461112632097,0.00507814465812788,-156.332350824683,-116.265920807673
"15","fitms_0.050","Stomach-AdenoCA",2.85180821557721,2.94284207218873,0.179916100013386,0.951301587301587,1,0.0959040582074459,0.068691784422785,0.0539682455557291,0.0552947301098157,0.9205,1,0.148521614701935,1,1,0,0.957035229555824,0.0601213474253411,0.00641318000758593,-115.559452021471,-111.3695220421
"16","fitms_0.060","Stomach-AdenoCA",2.85180821556784,2.94284207218873,0.179916100025501,0.951301587301587,1,0.0959040582074459,0.068691784432164,0.0539682455557258,0.0552947301200047,0.9205,1,0.148521614701935,1,1,0,0.957035229549652,0.0601213474271261,0.00641318000758577,-115.559452021471,-111.3695220421
"17","fitms_0.100","Stomach-AdenoCA",2.85180821556601,2.94284207218874,0.179916100027852,0.951301587301587,1,0.0959040582074459,0.0686917844339928,0.053968245555724,0.055294730121989,0.9205,1,0.148521614701935,1,1,0,0.95703522954845,0.0601213474274759,0.00641318000758561,-115.559452021471,-111.3695220421
"18","fitms_0.030","Stomach-AdenoCA",2.85180821556198,2.94284207218873,0.179916100033055,0.951301587301587,1,0.0959040582074459,0.0686917844380212,0.0539682455557234,0.0552947301263663,0.9205,1,0.148521614701935,1,1,0,0.957035229545802,0.0601213474282415,0.00641318000758577,-115.559452021471,-111.3695220421
"19","sigpro","ColoRect-AdenoCA",2.84158619473838,2.93367658409955,0.210019582181129,0.962380952380952,1,0.08785603811332,0.0975804719282838,0.0636154114543197,0.102072482267282,0.939166666666667,1,0.139571554606298,1,1,0,0.93585605698646,0.119807741532104,0.00591507248667457,-223.184529959028,-118.852686467705
"20","fitms_0.010","Stomach-AdenoCA",2.8407927728615,2.93895166174673,0.190812739560319,0.946896825396825,1,0.101450242676444,0.0722072271385009,0.0563382942705358,0.0557094339034863,0.918,1,0.153443087640927,0.995,1,0.0351763235340724,0.954296980010235,0.0660166211326309,0.00751975062149286,-115.894469237455,-111.364109002431
"21","fitms_0.005","Stomach-AdenoCA",2.84079277283349,2.93895166174661,0.190812739568752,0.946896825396825,1,0.101450242676444,0.0722072271665132,0.0563382942705372,0.0557094339089299,0.918,1,0.153443087640927,0.995,1,0.0351763235340724,0.954296979989277,0.0660166211364455,0.00751975062149333,-115.894469237455,-111.364109002431
"22","fitms_0.001","Stomach-AdenoCA",2.84079277283345,2.93895166174661,0.190812739568379,0.946896825396825,1,0.101450242676444,0.0722072271665489,0.0563382942705282,0.0557094339075062,0.918,1,0.153443087640927,0.995,1,0.0351763235340724,0.954296979989299,0.0660166211363169,0.00751975062149286,-115.894469237455,-111.364109002431
"23","msa_thresholdx10","ColoRect-AdenoCA",2.83829912493616,2.9142694833533,0.172641936139775,0.968,1,0.0736905898354941,0.108367541730511,0.0836707080865646,0.0837230314060486,0.993333333333333,1,0.0469017647120965,0.953333333333333,1,0.116245029339926,0.921695329801284,0.0466850431847765,0.00647454247287254,-1453.48214057613,-121.082999941425
"24","fitms_0.200","Stomach-AdenoCA",2.82262503460337,2.93612329308062,0.218331228677932,0.941539682539683,1,0.103595619824717,0.0823749653966337,0.0539366532894637,0.0906807258398766,0.905,1,0.160360494559877,1,1,0,0.948535830732769,0.112588221541451,0.00633029562704686,-126.470509625945,-112.814021338148
"25","mp","ColoRect-AdenoCA",2.82210600029053,2.91282060366914,0.197670350502228,0.95847619047619,1,0.0934171272310008,0.111227333042802,0.0866637547671421,0.0895047573459018,0.933333333333333,1,0.14746263960259,1,1,0,0.916451109300924,0.121012647533828,0.00632217500991173,-226.965373851555,-120.402949114164
"26","msa_default","ColoRect-AdenoCA",2.8207864235799,2.9142694833533,0.191897748025868,0.959142857142857,1,0.0800180354850455,0.110880243086764,0.0840829978235322,0.0867463304553728,0.996666666666667,1,0.0333333333333333,0.935,1,0.131137217055151,0.921398607962352,0.0494132166995793,0.00696464010726566,-1476.15311850649,-125.357583124556
"27","yapsa_0.06","ColoRect-AdenoCA",2.81863974388411,2.91558188484604,0.201362600497855,0.956380952380952,1,0.0918610502483956,0.110526922782558,0.0844181151539657,0.0871145263994502,0.959166666666667,1,0.121655596562937,0.97,1,0.0958744970882204,0.920087502891855,0.0766328210865193,0.00647250242235674,-1025.17063194966,-121.154837065525
"28","pasa","Liver-HCC",2.81455031417699,2.89850186563666,0.165599616755522,0.949950937950938,1,0.07540924403386,0.0984258762992046,0.0823310630597708,0.0646851732065957,0.91497619047619,1,0.124546542308998,0.998,1,0.02,0.94460961339354,0.0956995547114187,0.017057792883441,-102.239469289531,-100.202471204405
"29","yapsa_0.03","ColoRect-AdenoCA",2.81188094255629,2.91495815101619,0.198612365216793,0.953809523809524,1,0.0863731292724621,0.111452390777045,0.0838560091700204,0.0868328685181624,0.988333333333333,1,0.0680619972214215,0.935,1,0.131137217055151,0.921180322639839,0.0532547375962205,0.00838179385972786,-1437.39203738818,-127.759816234311
"30","fitms_0.060","Eso-AdenoCA",2.80712559510742,2.93438406290723,0.214092468315013,0.923415584415584,1,0.122132526550438,0.0710410715592468,0.0529074482287938,0.0534847037598379,0.878166666666667,1,0.183121931988794,1,1,0,0.957237645942092,0.0959016785110642,0.00668534945263902,-114.24716912636,-113.889406697926
"31","fitms_0.050","Eso-AdenoCA",2.80712559510742,2.93438406290723,0.214092468315016,0.923415584415584,1,0.122132526550438,0.0710410715592492,0.0529074482287849,0.0534847037598393,0.878166666666667,1,0.183121931988794,1,1,0,0.957237645942092,0.0959016785110641,0.0066853494526387,-114.24716912636,-113.889406697926
"32","fitms_0.030","Eso-AdenoCA",2.80712559510742,2.93438406290723,0.214092468315016,0.923415584415584,1,0.122132526550438,0.0710410715592506,0.0529074482287931,0.0534847037598409,0.878166666666667,1,0.183121931988794,1,1,0,0.957237645942091,0.095901678511066,0.00668534945263918,-114.24716912636,-113.889406697926
