"tool_name","cancer_type","cpu_seconds"
"deconstruct_0.00","Breast-AdenoCA",30.9299999999999
"deconstruct_0.00","ColoRect-AdenoCA",19.0600000000001
"deconstruct_0.00","Eso-AdenoCA",28.2449999999998
"deconstruct_0.00","Kidney-RCC",13.5360000000002
"deconstruct_0.00","Liver-HCC",22.3090000000003
"deconstruct_0.00","Lung-AdenoCA",12.671
"deconstruct_0.00","Ovary-AdenoCA",19.3640000000004
"deconstruct_0.00","Skin-Melanoma",8.86200000000008
"deconstruct_0.00","Stomach-AdenoCA",27.3220000000002
"deconstruct_0.03","Breast-AdenoCA",30.8670000000002
"deconstruct_0.03","ColoRect-AdenoCA",19.0590000000001
"deconstruct_0.03","Eso-AdenoCA",28.389
"deconstruct_0.03","Kidney-RCC",13.571
"deconstruct_0.03","Liver-HCC",22.3630000000003
"deconstruct_0.03","Lung-AdenoCA",12.7310000000002
"deconstruct_0.03","Ovary-AdenoCA",19.513
"deconstruct_0.03","Skin-Melanoma",8.89100000000008
"deconstruct_0.03","Stomach-AdenoCA",27.4809999999999
"deconstruct_0.06","Breast-AdenoCA",30.8249999999999
"deconstruct_0.06","ColoRect-AdenoCA",19.1070000000001
"deconstruct_0.06","Eso-AdenoCA",29.3310000000001
"deconstruct_0.06","Kidney-RCC",12.749
"deconstruct_0.06","Liver-HCC",22.4609999999999
"deconstruct_0.06","Lung-AdenoCA",13.6969999999998
"deconstruct_0.06","Ovary-AdenoCA",18.6040000000001
"deconstruct_0.06","Skin-Melanoma",8.90099999999967
"deconstruct_0.06","Stomach-AdenoCA",27.526
"deconstruct_0.10","Breast-AdenoCA",32.04
"deconstruct_0.10","ColoRect-AdenoCA",18.425
"deconstruct_0.10","Eso-AdenoCA",29.5080000000002
"deconstruct_0.10","Kidney-RCC",12.8089999999999
"deconstruct_0.10","Liver-HCC",22.6889999999999
"deconstruct_0.10","Lung-AdenoCA",13.759
"deconstruct_0.10","Ovary-AdenoCA",18.7469999999998
"deconstruct_0.10","Skin-Melanoma",8.96600000000001
"deconstruct_0.10","Stomach-AdenoCA",27.6980000000004
"fitms_0.005","Breast-AdenoCA",3.83399999999999
"fitms_0.005","ColoRect-AdenoCA",3.01999999999997
