Sample.ID,Tool,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS26,SBS28,SBS29,SBS30,SBS31,SBS35,SBS37,SBS38,SBS40,SBS40a,SBS40b,SBS40c,SBS41,SBS44,SBS24,SBS39
Breast-AdenoCA::S.1,Ground-Truth,574,192,0,0,658,0,0,0,0,0,0,0,0,0,0,3837,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.2,Ground-Truth,247,250,6163,0,2310,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.3,Ground-Truth,205,425,0,0,742,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.4,Ground-Truth,452,783,5410,0,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.5,Ground-Truth,349,97,0,0,2515,0,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.6,Ground-Truth,826,6440,4623,0,583,0,0,0,0,0,0,0,0,0,0,1479,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.7,Ground-Truth,297,197,0,0,2724,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.8,Ground-Truth,666,419,1859,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.9,Ground-Truth,167,36,4574,0,2157,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4804,0,0,0,0,0,0,0
Breast-AdenoCA::S.10,Ground-Truth,255,787,3104,0,1223,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.11,Ground-Truth,347,80,0,0,1730,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.12,Ground-Truth,696,512,1082,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.13,Ground-Truth,304,2724,0,0,1072,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,0
Breast-AdenoCA::S.14,Ground-Truth,254,344,0,0,3987,0,0,0,0,0,0,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.15,Ground-Truth,699,5706,0,0,3361,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.16,Ground-Truth,318,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.17,Ground-Truth,625,150,0,0,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.18,Ground-Truth,110,108,0,0,2149,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.19,Ground-Truth,211,17,0,0,3529,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.20,Ground-Truth,229,1,2222,0,1187,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.21,Ground-Truth,285,906,0,0,3472,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.22,Ground-Truth,149,0,0,0,2078,0,0,0,0,0,0,659,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.23,Ground-Truth,267,1119,3977,0,2607,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.24,Ground-Truth,543,3344,0,0,1303,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.25,Ground-Truth,557,1318,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.26,Ground-Truth,270,1551,0,0,1886,0,0,0,0,0,0,0,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.27,Ground-Truth,924,1034,1287,0,1584,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0
Breast-AdenoCA::S.28,Ground-Truth,560,477,3534,0,2298,0,0,0,0,0,0,0,0,0,0,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.29,Ground-Truth,552,247,0,0,4373,0,0,0,0,0,0,0,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0
