"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL"
"1","deconstruct_0.00","Skin-Melanoma",3,3,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"2","deconstruct_0.03","Skin-Melanoma",3,3,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"3","deconstruct_0.06","Skin-Melanoma",3,3,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"4","deconstruct_0.10","Skin-Melanoma",3,3,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"5","sigpro","Skin-Melanoma",3,3,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"6","fitms_0.010","Skin-Melanoma",2.97342422040009,2.9998554722066,0.107901889842236,0.99,1,0.0571488693325884,0.0115757795999137,0.000144527793395168,0.0249885310045779,1,1,0,0.985,1,0.0857233039988826,0.010409923816868,0.00297337667721451,0
"7","fitms_0.001","Skin-Melanoma",2.97342422040009,2.99985547220661,0.107901889842239,0.99,1,0.0571488693325884,0.011575779599914,0.00014452779339295,0.0249885310045817,1,1,0,0.985,1,0.0857233039988826,0.0104099238168682,0.00297337667721503,0
"8","fitms_0.005","Skin-Melanoma",2.97342422040009,2.99985547220661,0.107901889842236,0.99,1,0.0571488693325884,0.0115757795999137,0.000144527793385436,0.024988531004579,1,1,0,0.985,1,0.0857233039988826,0.010409923816868,0.0029733766772146,0
"9","pasa","Liver-HCC",2.95351714466303,2.98046960122031,0.0952747384938669,0.996666666666667,1,0.0333333333333333,0.0414828553369683,0.0195303987796906,0.0590160971101072,1,1,0,0.995,1,0.05,0.0288113870680404,0.00635461626248073,0.000390389391976515
"10","pasa","Skin-Melanoma",2.95182024202571,3,0.154068454675097,0.97,1,0.0958744970882204,0.00317975797429285,0,0.0115092445103077,1,1,0,0.955,1,0.143811745632331,0.00224842842615447,0.00231963240476619,0
"11","fitms_0.050","Liver-HCC",2.89638338767779,2.96381389061244,0.245122775820321,0.971333333333333,1,0.123639169440665,0.06528327898888,0.0361861093875585,0.116319683051636,0.981666666666667,1,0.115797629116882,0.98,1,0.0984731927834662,0.0495174711809607,NA,NA
"12","fitms_0.010","Liver-HCC",2.89638338767779,2.96381389061244,0.245122775820323,0.971333333333333,1,0.123639169440665,0.0652832789888803,0.036186109387558,0.116319683051636,0.981666666666667,1,0.115797629116882,0.98,1,0.0984731927834662,0.0495174711809613,NA,NA
"13","fitms_0.060","Liver-HCC",2.89638338767778,2.96381389061244,0.245122775820325,0.971333333333333,1,0.123639169440665,0.0652832789888828,0.036186109387559,0.116319683051639,0.981666666666667,1,0.115797629116882,0.98,1,0.0984731927834662,0.0495174711809625,NA,NA
